,0,1,2,3,4,5,
 
,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,Estimate(Std. Err.),p,

,Regression Slopes,
 unemp,

child,0.02{(0.01)},.099,0.02{(0.01)},.056,0.02{(0.01)},.125,0.02{(0.01)},.111,0.02{(0.01)},.107,0.02{(0.01)},.127,

educ,-0.03{(0.00)}**,.000,-0.03{(0.00)}**,.000,-0.03{(0.00)}**,.000,-0.03{(0.00)}**,.000,-0.03{(0.00)}**,.000,-0.03{(0.00)}**,.000,

numcon,0.00{(0.00)},.697,0.02{(0.01)}**,.001,0.02{(0.01)}*,.030,0.02{(0.01)}*,.028,0.02{(0.01)}*,.031,0.02{(0.01)}*,.030,

numwork,,,-0.03{(0.01)}**,.000,-0.03{(0.01)}**,.000,-0.03{(0.01)}**,.000,-0.03{(0.01)}**,.000,-0.03{(0.01)}**,.000,

female,,,,,0.16{(0.01)}**,.000,0.16{(0.01)}**,.000,0.16{(0.01)}**,.000,0.16{(0.01)}**,.000,

west,,,,,0.05{(0.02)}*,.038,0.05{(0.02)}*,.044,0.04{(0.03)},.182,0.04{(0.03)},.198,

nonwest,,,,,0.04{(0.02)},.125,0.04{(0.02)},.121,0.04{(0.03)},.152,0.04{(0.03)},.163,

f.w,,,,,,,,,0.02{(0.05)},.712,0.02{(0.05)},.715,

f.nw,,,,,,,,,-0.00{(0.04)},.941,-0.00{(0.05)},.945,

 numwork,

numcon,,,,,0.74{(0.01)}**,.000,0.74{(0.01)}**,.000,0.74{(0.01)}**,.000,0.74{(0.01)}**,.000,

west,,,,,,,-0.08{(0.05)},.111,0.00{(0.00)},,-0.06{(0.07)},.332,

nonwest,,,,,,,-0.16{(0.06)}**,.004,0.00{(0.00)},,-0.15{(0.08)},.079,

female,,,,,,,-0.00{(0.03)},.885,0.00{(0.00)},,0.00{(0.04)},.955,

f.w,,,,,,,,,0.00{(0.00)},,-0.04{(0.11)},.704,

f.nw,,,,,,,,,0.00{(0.00)},,-0.03{(0.11)},.801,

,Residual Variances,

unemp,0.11{(0.00)}**,.000,0.11{(0.00)}**,.000,0.11{(0.00)}**,.000,0.11{(0.00)}**,.000,0.11{(0.00)}**,.000,0.11{(0.00)}**,.000,

child,0.25+,,0.25+,,0.25+,,0.25+,,0.25+,,0.25+,,

educ,5.62+,,5.62+,,5.62+,,5.62+,,5.62+,,5.62+,,

numcon,3.58+,,3.58+,,3.58+,,3.58+,,3.58+,,3.58+,,

numwork,,,2.64+,,0.68{(0.03)}**,.000,0.68{(0.03)}**,.000,0.68{(0.03)}**,.000,0.68{(0.03)}**,.000,

female,,,,,0.25+,,0.25+,,0.25+,,0.25+,,

west,,,,,0.09+,,0.09+,,0.09+,,0.09+,,

nonwest,,,,,0.09+,,0.09+,,0.09+,,0.09+,,

f.w,,,,,,,,,0.05+,,0.05+,,

f.nw,,,,,,,,,0.05+,,0.05+,,

,Residual Covariances,

child w/educ,0.04+,,0.04+,,0.04+,,0.04+,,0.04+,,0.04+,,

child w/numcon,0.01+,,0.01+,,0.01+,,0.01+,,0.01+,,0.01+,,

educ w/numcon,0.58+,,0.58+,,0.58+,,0.58+,,0.58+,,0.58+,,

numwork w/child,,,0.03+,,,,,,,,,,

numwork w/educ,,,0.67+,,,,,,,,,,

numwork w/numcon,,,2.65+,,,,,,,,,,

female w/west,,,,,-0.00+,,-0.00+,,-0.00+,,-0.00+,,

female w/nonwest,,,,,-0.00+,,-0.00+,,-0.00+,,-0.00+,,

female w/child,,,,,0.01+,,0.01+,,0.01+,,0.01+,,

female w/educ,,,,,-0.03+,,-0.03+,,-0.03+,,-0.03+,,

female w/numcon,,,,,0.17+,,0.17+,,0.17+,,0.17+,,

west w/nonwest,,,,,-0.01+,,-0.01+,,-0.01+,,-0.01+,,

west w/child,,,,,0.00+,,0.00+,,0.00+,,0.00+,,

west w/educ,,,,,-0.03+,,-0.03+,,-0.03+,,-0.03+,,

west w/numcon,,,,,-0.02+,,-0.02+,,-0.02+,,-0.02+,,

nonwest w/child,,,,,-0.00+,,-0.00+,,-0.00+,,-0.00+,,

nonwest w/educ,,,,,0.01+,,0.01+,,0.01+,,0.01+,,

nonwest w/numcon,,,,,-0.00+,,-0.00+,,-0.00+,,-0.00+,,

female w/f.w,,,,,,,,,0.02+,,0.02+,,

female w/f.nw,,,,,,,,,0.02+,,0.02+,,

west w/f.w,,,,,,,,,0.05+,,0.05+,,

west w/f.nw,,,,,,,,,-0.01+,,-0.01+,,

nonwest w/f.w,,,,,,,,,-0.00+,,-0.00+,,

nonwest w/f.nw,,,,,,,,,0.05+,,0.05+,,

child w/f.w,,,,,,,,,0.00+,,0.00+,,

child w/f.nw,,,,,,,,,-0.00+,,-0.00+,,

educ w/f.w,,,,,,,,,0.00+,,0.00+,,

educ w/f.nw,,,,,,,,,0.01+,,0.01+,,

numcon w/f.w,,,,,,,,,0.01+,,0.01+,,

numcon w/f.nw,,,,,,,,,0.02+,,0.02+,,

f.w w/f.nw,,,,,,,,,-0.00+,,-0.00+,,

,Constructed,

ind.sex,,,,,,,0.00{(0.00)},.890,,,,,

ind.west,,,,,,,0.00{(0.00)},.148,,,,,

ind.nonwest,,,,,,,0.00{(0.00)}*,.021,,,,,

tot.sex,,,,,,,0.16{(0.01)}**,.000,,,,,

tot.west,,,,,,,0.05{(0.02)}*,.035,,,,,

tot.nonwest,,,,,,,0.04{(0.02)},.078,,,,,

dir.mwest,,,,,,,,,0.04{(0.03)},.182,0.04{(0.03)},.199,

dir.mnonwest,,,,,,,,,0.04{(0.03)},.153,0.04{(0.03)},.163,

dir.fsex,,,,,,,,,0.16{(0.01)}**,.000,0.16{(0.01)}**,.000,

dir.fwest,,,,,,,,,0.21{(0.04)}**,.000,0.21{(0.04)}**,.000,

dir.fnonwest,,,,,,,,,0.19{(0.03)}**,.000,0.19{(0.03)}**,.000,

ind.mwest,,,,,,,,,-0.00{(0.00)},,0.00{(0.00)},.367,

ind.mnonwest,,,,,,,,,-0.00{(0.00)},,0.00{(0.00)},.121,

ind.fsex,,,,,,,,,-0.00{(0.00)},,-0.00{(0.00)},.956,

ind.fwest,,,,,,,,,-0.00{(0.00)},,0.00{(0.00)},.250,

